pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2018-08-01 00:00:00,3.0,37.4,-6.0,21.2,52.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 01:00:00,3.0,37.4,-6.0,21.2,52.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 02:00:00,3.0,37.4,-6.0,21.2,52.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 03:00:00,2.0,35.6,-7.0,19.4,52.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 04:00:00,2.0,35.6,-8.0,17.6,48.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 05:00:00,2.0,35.6,-8.0,17.6,48.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 06:00:00,2.0,35.6,-6.0,21.2,56.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 07:00:00,3.0,37.4,-4.0,24.8,60.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 08:00:00,3.0,37.4,-4.0,24.8,60.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 09:00:00,4.0,39.2,-1.0,30.2,70.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 10:00:00,5.0,41.0,-1.0,30.2,65.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 11:00:00,6.0,42.8,4.0,39.2,87.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 12:00:00,6.0,42.8,1.0,33.8,70.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 13:00:00,6.0,42.8,0.0,32.0,66.0,,,,,0,North,,,,,,,,,,,Unknown,unknown,0,0,0,0,0,0
2018-08-01 14:00:00,6.1,43.0,-0.6,30.9,62.0,11.1,6.9,,,0,Variable,16.1,10.0,1021.6,30.17,3.8,38.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-01 15:00:00,6.1,43.0,0.6,33.1,68.0,9.3,5.8,,,50,NE,16.1,10.0,1021.7,30.17,4.2,39.5,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-01 16:00:00,6.7,44.1,0.6,33.1,65.0,9.3,5.8,,,50,NE,16.1,10.0,1021.5,30.17,4.9,40.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-01 17:00:00,6.7,44.1,0.6,33.1,65.0,9.3,5.8,,,130,SE,16.1,10.0,1021.8,30.18,4.9,40.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-01 18:00:00,6.7,44.1,-0.6,30.9,60.0,,,,,0,North,16.1,10.0,1022.4,30.19,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-01 19:00:00,6.7,44.1,-0.6,30.9,60.0,11.1,6.9,,,90,East,16.1,10.0,1023.0,30.21,4.5,40.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-01 20:00:00,6.7,44.1,-0.6,30.9,60.0,9.3,5.8,,,0,Variable,16.1,10.0,1022.8,30.21,4.9,40.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-01 21:00:00,5.6,42.1,0.6,33.1,70.0,16.7,10.4,33.3,20.7,60,ENE,16.1,10.0,1022.6,30.2,2.3,36.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-01 22:00:00,5.6,42.1,0.6,33.1,70.0,14.8,9.2,,,80,East,16.1,10.0,1022.8,30.21,2.5,36.6,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-01 23:00:00,5.0,41.0,0.0,32.0,70.0,18.5,11.5,33.3,20.7,80,East,16.1,10.0,1021.8,30.18,1.3,34.3,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-02 00:00:00,3.9,39.0,-6.1,21.0,49.0,24.1,15.0,33.3,20.7,50,NE,16.1,10.0,1010.9,29.86,-0.8,30.6,,,,,Clear,clear,0,0,0,0,0,0
2018-08-02 01:00:00,3.3,37.9,-6.7,19.9,48.0,22.2,13.8,,,50,NE,16.1,10.0,1009.7,29.82,-1.3,29.6,,,,,Clear,clear,0,0,0,0,0,0
2018-08-02 02:00:00,3.3,37.9,-4.4,24.1,57.0,20.4,12.7,37.0,23.0,40,NE,16.1,10.0,1008.0,29.77,-1.1,30.0,,,,,Clear,clear,0,0,0,0,0,0
2018-08-02 03:00:00,3.3,37.9,-3.3,26.1,62.0,25.9,16.1,40.7,25.3,60,ENE,16.1,10.0,1007.1,29.74,-1.7,28.9,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-08-02 04:00:00,3.3,37.9,-3.3,26.1,62.0,25.9,16.1,40.7,25.3,60,ENE,16.1,10.0,1007.0,29.74,-1.7,28.9,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-02 05:00:00,3.3,37.9,-3.3,26.1,62.0,18.5,11.5,31.5,19.6,60,ENE,16.1,10.0,1007.5,29.75,-0.9,30.5,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-02 06:00:00,3.3,37.9,-3.3,26.1,62.0,20.4,12.7,33.3,20.7,40,NE,16.1,10.0,1007.9,29.77,-1.1,30.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-08-02 07:00:00,3.3,37.9,-3.9,25.0,60.0,22.2,13.8,,,60,ENE,16.1,10.0,1008.4,29.78,-1.3,29.6,,,,,Overcast,cloudy,0,0,0,0,0,0
