pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2018-12-01 00:00:00,-3.9,25.0,-16.1,3.0,39.0,9.3,5.8,,,0,Variable,16.1,10.0,1018.9,30.09,-7.7,18.1,,,,,Clear,clear,0,0,0,0,0,0
2018-12-01 01:00:00,-3.9,25.0,-16.7,1.9,37.0,0.0,0.0,,,0,North,16.1,10.0,1019.2,30.1,,,,,,,Clear,clear,0,0,0,0,0,0
2018-12-01 02:00:00,-3.9,25.0,-16.1,3.0,39.0,0.0,0.0,,,0,North,16.1,10.0,1019.2,30.1,,,,,,,Clear,clear,0,0,0,0,0,0
2018-12-01 03:00:00,-3.3,26.1,-15.6,3.9,39.0,9.3,5.8,,,270,West,16.1,10.0,1018.9,30.09,-7.0,19.4,,,,,Clear,clear,0,0,0,0,0,0
2018-12-01 04:00:00,-3.3,26.1,-14.4,6.1,43.0,7.4,4.6,,,0,Variable,16.1,10.0,1018.6,30.08,-6.4,20.5,,,,,Clear,clear,0,0,0,0,0,0
2018-12-01 05:00:00,-3.3,26.1,-14.4,6.1,43.0,0.0,0.0,,,0,North,16.1,10.0,1017.8,30.06,,,,,,,Clear,clear,0,0,0,0,0,0
2018-12-01 06:00:00,-2.8,27.0,-14.4,6.1,41.0,0.0,0.0,,,0,North,16.1,10.0,1016.7,30.03,,,,,,,Clear,clear,0,0,0,0,0,0
2018-12-01 07:00:00,-2.2,28.0,-12.8,9.0,45.0,0.0,0.0,,,0,North,16.1,10.0,1015.7,30.0,,,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2018-12-01 08:00:00,-1.7,28.9,-11.7,10.9,47.0,0.0,0.0,,,0,North,16.1,10.0,1015.3,29.99,,,,,,,Clear,clear,0,0,0,0,0,0
2018-12-01 09:00:00,0.6,33.1,-10.0,14.0,46.0,11.1,6.9,,,160,SSE,16.1,10.0,1014.1,29.95,-2.8,26.9,,,,,Clear,clear,0,0,0,0,0,0
