pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2018-02-01 00:00:00,1.1,34.0,-9.4,15.1,46.0,9.3,5.8,29.6,18.4,0,Variable,16.1,10.0,1016.6,30.02,-1.8,28.8,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2018-02-01 01:00:00,1.1,34.0,-8.9,16.0,48.0,13.0,8.1,25.9,16.1,270,West,16.1,10.0,1016.6,30.02,-2.6,27.2,,,,,Clear,clear,0,0,0,0,0,0
2018-02-01 02:00:00,1.1,34.0,-8.3,17.1,50.0,13.0,8.1,,,290,WNW,16.1,10.0,1017.3,30.04,-2.6,27.2,,,,,Clear,clear,0,0,0,0,0,0
2018-02-01 03:00:00,1.1,34.0,-8.3,17.1,50.0,22.2,13.8,33.3,20.7,280,West,16.1,10.0,1016.9,30.03,-4.1,24.6,,,,,Clear,clear,0,0,0,0,0,0
2018-02-01 04:00:00,0.6,33.1,-7.8,18.0,54.0,16.7,10.4,25.9,16.1,280,West,16.1,10.0,1017.1,30.04,-3.9,24.9,,,,,Clear,clear,0,0,0,0,0,0
2018-02-01 05:00:00,0.6,33.1,-7.8,18.0,54.0,14.8,9.2,,,270,West,16.1,10.0,1017.4,30.05,-3.6,25.5,,,,,Clear,clear,0,0,0,0,0,0
2018-02-01 06:00:00,0.6,33.1,-7.8,18.0,54.0,0.0,0.0,,,0,North,16.1,10.0,1017.9,30.06,,,,,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0
2018-02-01 07:00:00,1.1,34.0,-7.8,18.0,52.0,7.4,4.6,,,270,West,16.1,10.0,1018.3,30.07,-1.2,29.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-02-01 08:00:00,1.1,34.0,-8.3,17.1,50.0,11.1,6.9,,,260,West,16.1,10.0,1018.8,30.09,-2.2,28.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-02-01 09:00:00,1.7,35.1,-8.3,17.1,48.0,9.3,5.8,,,0,Variable,16.1,10.0,1019.2,30.1,-1.1,30.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-02-01 10:00:00,2.8,37.0,-7.8,18.0,46.0,9.3,5.8,,,0,Variable,16.1,10.0,1018.5,30.08,0.2,32.4,,,,,Overcast,cloudy,0,0,0,0,0,0
