pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2018-01-01 00:00:00,5.6,42.1,-3.9,25.0,51.0,7.4,4.6,,,0,Variable,16.1,10.0,1017.9,30.06,4.0,39.2,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-01-01 01:00:00,5.0,41.0,-3.9,25.0,53.0,5.6,3.5,,,0,Variable,16.1,10.0,1017.8,30.06,3.9,39.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-01-01 02:00:00,5.0,41.0,-3.3,26.1,55.0,7.4,4.6,,,280,West,16.1,10.0,1017.7,30.06,3.3,38.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-01-01 03:00:00,5.0,41.0,-3.3,26.1,55.0,14.8,9.2,,,280,West,16.1,10.0,1017.7,30.06,1.8,35.2,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-01-01 04:00:00,4.4,39.9,-3.3,26.1,58.0,16.7,10.4,25.9,16.1,270,West,16.1,10.0,1017.0,30.04,0.8,33.4,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-01-01 05:00:00,4.4,39.9,-3.3,26.1,58.0,11.1,6.9,,,290,WNW,16.1,10.0,1017.5,30.05,1.7,35.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-01-01 06:00:00,3.9,39.0,-3.3,26.1,60.0,0.0,0.0,,,0,North,16.1,10.0,1017.7,30.06,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-01-01 07:00:00,3.9,39.0,-3.9,25.0,57.0,11.1,6.9,,,280,West,16.1,10.0,1017.6,30.05,1.1,34.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-01-01 08:00:00,3.9,39.0,-4.4,24.1,55.0,11.1,6.9,,,260,West,16.1,10.0,1018.0,30.06,1.1,34.0,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-01-01 09:00:00,4.4,39.9,-3.9,25.0,55.0,7.4,4.6,,,290,WNW,16.1,10.0,1018.0,30.06,2.6,36.7,,,,,Overcast,cloudy,0,0,0,0,0,0
