pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2018-07-01 00:00:00,1.7,35.1,-15.6,3.9,27.0,11.1,6.9,,,260,West,16.1,10.0,1028.6,30.38,-1.5,29.3,,,,,Clear,clear,0,0,0,0,0,0
2018-07-01 01:00:00,1.1,34.0,-15.0,5.0,30.0,9.3,5.8,,,260,West,16.1,10.0,1028.2,30.37,-1.8,28.8,,,,,Clear,clear,0,0,0,0,0,0
2018-07-01 02:00:00,0.6,33.1,-15.0,5.0,31.0,0.0,0.0,,,0,North,16.1,10.0,1027.9,30.36,,,,,,,Clear,clear,0,0,0,0,0,0
2018-07-01 03:00:00,0.6,33.1,-14.4,6.1,32.0,0.0,0.0,,,0,North,16.1,10.0,1027.7,30.35,,,,,,,Clear,clear,0,0,0,0,0,0
2018-07-01 04:00:00,0.0,32.0,-12.8,9.0,38.0,7.4,4.6,,,280,West,16.1,10.0,1027.7,30.35,-2.5,27.5,,,,,Clear,clear,0,0,0,0,0,0
2018-07-01 05:00:00,0.0,32.0,-13.3,8.1,37.0,9.3,5.8,,,290,WNW,16.1,10.0,1027.8,30.35,-3.1,26.4,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-07-01 06:00:00,-0.6,30.9,-13.9,7.0,37.0,5.6,3.5,,,0,Variable,16.1,10.0,1027.4,30.34,-2.5,27.5,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-07-01 07:00:00,0.0,32.0,-12.8,9.0,38.0,0.0,0.0,,,0,North,16.1,10.0,1027.4,30.34,,,,,,,Clear,clear,0,0,0,0,0,0
2018-07-01 08:00:00,1.7,35.1,-13.9,7.0,31.0,5.6,3.5,,,0,Variable,16.1,10.0,1027.2,30.34,0.1,32.2,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2018-07-01 09:00:00,3.3,37.9,-15.0,5.0,25.0,0.0,0.0,,,0,North,16.1,10.0,1027.1,30.33,,,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-07-01 10:00:00,5.6,42.1,-14.4,6.1,23.0,5.6,3.5,,,60,ENE,16.1,10.0,1026.4,30.31,4.6,40.2,,,,,Clear,clear,0,0,0,0,0,0
