pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2018-06-01 00:00:00,-2.8,27.0,-15.6,3.9,37.0,0.0,0.0,,,0,North,16.1,10.0,1035.6,30.58,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 01:00:00,-2.8,27.0,-15.6,3.9,37.0,0.0,0.0,,,0,North,16.1,10.0,1035.6,30.58,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 02:00:00,-3.3,26.1,-15.0,5.0,41.0,0.0,0.0,,,0,North,16.1,10.0,1035.2,30.57,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 03:00:00,-3.3,26.1,-13.9,7.0,44.0,5.6,3.5,,,320,NW,16.1,10.0,1034.8,30.56,-5.6,21.9,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 04:00:00,-3.9,25.0,-12.8,9.0,51.0,0.0,0.0,,,0,North,16.1,10.0,1034.7,30.56,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 05:00:00,-3.3,26.1,-13.3,8.1,47.0,5.6,3.5,,,290,WNW,16.1,10.0,1035.1,30.57,-5.6,21.9,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 06:00:00,-3.3,26.1,-13.3,8.1,47.0,0.0,0.0,,,0,North,16.1,10.0,1035.1,30.57,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 07:00:00,-2.8,27.0,-14.4,6.1,41.0,0.0,0.0,,,0,North,16.1,10.0,1035.2,30.57,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 08:00:00,-1.1,30.0,-16.1,3.0,32.0,5.6,3.5,,,0,Variable,16.1,10.0,1035.3,30.58,-3.1,26.5,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 09:00:00,-1.1,30.0,-16.1,3.0,32.0,11.1,6.9,,,0,Variable,16.1,10.0,1035.6,30.58,-4.9,23.2,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 10:00:00,0.6,33.1,-16.7,1.9,27.0,11.1,6.9,,,250,WSW,16.1,10.0,1035.2,30.57,-2.8,26.9,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 11:00:00,2.2,36.0,-17.2,1.0,23.0,0.0,0.0,,,0,North,16.1,10.0,1033.8,30.53,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 12:00:00,3.3,37.9,-17.2,1.0,21.0,0.0,0.0,,,0,North,16.1,10.0,1032.4,30.49,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 13:00:00,4.4,39.9,-17.8,0.0,19.0,7.4,4.6,,,0,Variable,16.1,10.0,1031.3,30.46,2.6,36.7,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 14:00:00,4.4,39.9,-18.3,-0.9,18.0,7.4,4.6,,,240,WSW,16.1,10.0,1031.1,30.45,2.6,36.7,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 15:00:00,3.9,39.0,-17.2,1.0,20.0,5.6,3.5,,,210,SSW,16.1,10.0,1030.8,30.44,2.6,36.8,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 16:00:00,3.3,37.9,-16.1,3.0,23.0,5.6,3.5,,,240,WSW,16.1,10.0,1030.5,30.43,2.0,35.5,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 17:00:00,3.3,37.9,-14.4,6.1,27.0,13.0,8.1,,,230,SW,16.1,10.0,1030.5,30.43,0.0,32.1,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 18:00:00,2.8,37.0,-15.6,3.9,25.0,9.3,5.8,,,0,Variable,16.1,10.0,1030.4,30.43,0.2,32.4,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 19:00:00,2.2,36.0,-14.4,6.1,29.0,11.1,6.9,,,240,WSW,16.1,10.0,1030.8,30.44,-0.9,30.3,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 20:00:00,2.8,37.0,-15.6,3.9,25.0,14.8,9.2,,,260,West,16.1,10.0,1030.6,30.44,-0.9,30.4,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 21:00:00,2.2,36.0,-15.0,5.0,27.0,9.3,5.8,,,270,West,16.1,10.0,1030.2,30.43,-0.5,31.1,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 22:00:00,1.7,35.1,-12.8,9.0,34.0,9.3,5.8,,,270,West,16.1,10.0,1030.0,30.42,-1.1,30.1,,,,,Clear,clear,0,0,0,0,0,0
2018-06-01 23:00:00,1.1,34.0,-14.4,6.1,31.0,0.0,0.0,,,0,North,16.1,10.0,1029.6,30.41,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-02 00:00:00,0.0,32.0,-9.4,15.1,50.0,16.7,10.4,29.6,18.4,310,NW,16.1,10.0,1026.8,30.32,-4.7,23.6,,,,,Clear,clear,0,0,0,0,0,0
2018-06-02 01:00:00,-0.6,30.9,-8.9,16.0,54.0,0.0,0.0,,,0,North,16.1,10.0,1027.9,30.36,,,,,,,Clear,clear,0,0,0,0,0,0
2018-06-02 02:00:00,-0.6,30.9,-8.9,16.0,54.0,5.6,3.5,,,0,Variable,16.1,10.0,1027.9,30.36,-2.5,27.5,,,,,Clear,clear,0,0,0,0,0,0
2018-06-02 03:00:00,-0.6,30.9,-8.9,16.0,54.0,5.6,3.5,,,0,Variable,16.1,10.0,1027.9,30.36,-2.5,27.5,,,,,Clear,clear,0,0,0,0,0,0
2018-06-02 04:00:00,-0.6,30.9,-8.9,16.0,54.0,9.3,5.8,,,280,West,16.1,10.0,1028.6,30.38,-3.8,25.2,,,,,Clear,clear,0,0,0,0,0,0
2018-06-02 05:00:00,-0.6,30.9,-8.9,16.0,54.0,5.6,3.5,,,0,Variable,16.1,10.0,1028.9,30.39,-2.5,27.5,,,,,Clear,clear,0,0,0,0,0,0
2018-06-02 06:00:00,-0.6,30.9,-8.3,17.1,57.0,5.6,3.5,,,0,Variable,16.1,10.0,1029.6,30.41,-2.5,27.5,,,,,Clear,clear,0,0,0,0,0,0
2018-06-02 07:00:00,-0.6,30.9,-8.3,17.1,57.0,7.4,4.6,,,280,West,16.1,10.0,1029.9,30.42,-3.2,26.2,,,,,Clear,clear,0,0,0,0,0,0
2018-06-02 08:00:00,0.6,33.1,-8.9,16.0,50.0,11.1,6.9,,,280,West,16.1,10.0,1030.2,30.43,-2.8,26.9,,,,,Clear,clear,0,0,0,0,0,0
