pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2018-03-01 00:00:00,1.7,35.1,-6.7,19.9,54.0,0.0,0.0,,,0,North,16.1,10.0,1013.6,29.94,,,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 01:00:00,2.2,36.0,-6.7,19.9,52.0,18.5,11.5,,,260,West,16.1,10.0,1013.0,29.92,-2.2,28.0,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 02:00:00,2.2,36.0,-6.7,19.9,52.0,11.1,6.9,25.9,16.1,240,WSW,16.1,10.0,1012.2,29.89,-0.9,30.3,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 03:00:00,2.2,36.0,-6.7,19.9,52.0,,,,,0,North,16.1,10.0,1011.1,29.86,,,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 04:00:00,2.8,37.0,-6.7,19.9,50.0,11.1,6.9,38.9,24.2,0,Variable,16.1,10.0,1011.1,29.86,-0.2,31.6,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 05:00:00,2.2,36.0,-6.7,19.9,52.0,7.4,4.6,,,0,Variable,16.1,10.0,1010.4,29.84,0.0,32.1,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 06:00:00,1.7,35.1,-6.1,21.0,57.0,7.4,4.6,,,250,WSW,16.1,10.0,1010.7,29.85,-0.5,31.0,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 07:00:00,2.2,36.0,-6.1,21.0,55.0,7.4,4.6,,,0,Variable,16.1,10.0,1010.8,29.85,0.0,32.1,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 08:00:00,3.3,37.9,-6.1,21.0,51.0,16.7,10.4,27.8,17.3,240,WSW,16.1,10.0,1010.8,29.85,-0.6,30.9,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 09:00:00,3.9,39.0,-6.1,21.0,49.0,,,,,0,North,16.1,10.0,1010.9,29.86,,,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 10:00:00,6.1,43.0,-6.7,19.9,40.0,9.3,5.8,25.9,16.1,0,Variable,16.1,10.0,1010.2,29.83,4.2,39.5,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 11:00:00,6.7,44.1,-7.2,19.0,37.0,18.5,11.5,35.2,21.9,290,WNW,16.1,10.0,1009.2,29.81,3.4,38.1,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 12:00:00,6.7,44.1,-6.7,19.9,38.0,,,,,0,North,16.1,10.0,1008.7,29.79,,,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 13:00:00,6.7,44.1,-6.1,21.0,40.0,13.0,8.1,29.6,18.4,280,West,16.1,10.0,1009.1,29.8,4.2,39.5,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 14:00:00,5.6,42.1,-6.1,21.0,43.0,16.7,10.4,33.3,20.7,310,NW,16.1,10.0,1009.5,29.81,2.3,36.1,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2018-03-01 15:00:00,5.0,41.0,-6.7,19.9,43.0,14.8,9.2,25.9,16.1,280,West,16.1,10.0,1009.8,29.82,1.8,35.2,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 16:00:00,5.0,41.0,-6.1,21.0,45.0,18.5,11.5,,,290,WNW,16.1,10.0,1010.3,29.84,1.3,34.3,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-01 17:00:00,5.0,41.0,-6.1,21.0,45.0,11.1,6.9,,,290,WNW,16.1,10.0,1010.9,29.86,2.5,36.4,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2018-03-01 18:00:00,4.4,39.9,-6.1,21.0,47.0,14.8,9.2,,,280,West,16.1,10.0,1011.7,29.88,1.1,33.9,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 19:00:00,3.9,39.0,-5.6,21.9,50.0,13.0,8.1,,,290,WNW,16.1,10.0,1012.1,29.89,0.8,33.4,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 20:00:00,3.3,37.9,-5.6,21.9,53.0,16.7,10.4,,,290,WNW,16.1,10.0,1011.6,29.88,-0.6,30.9,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 21:00:00,2.8,37.0,-5.6,21.9,54.0,14.8,9.2,,,280,West,16.1,10.0,1011.9,29.88,-0.9,30.4,,,,,Clear,clear,0,0,0,0,0,0
2018-03-01 22:00:00,2.8,37.0,-5.0,23.0,57.0,14.8,9.2,,,280,West,16.1,10.0,1012.0,29.89,-0.9,30.4,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-03-01 23:00:00,2.2,36.0,-5.0,23.0,59.0,11.1,6.9,,,0,Variable,16.1,10.0,1011.8,29.88,-0.9,30.3,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-03-02 00:00:00,5.6,42.1,-1.7,28.9,60.0,0.0,0.0,,,0,North,16.1,10.0,1025.9,30.3,,,,,,,Clear,clear,0,0,0,0,0,0
2018-03-02 01:00:00,6.7,44.1,-0.6,30.9,60.0,9.3,5.8,,,170,South,16.1,10.0,1026.2,30.31,4.9,40.8,,,,,Clear,clear,0,0,0,0,0,0
2018-03-02 02:00:00,6.1,43.0,0.6,33.1,68.0,11.1,6.9,,,180,South,16.1,10.0,1025.3,30.28,3.8,38.8,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-03-02 03:00:00,6.7,44.1,1.7,35.1,71.0,,,,,0,North,16.1,10.0,1024.8,30.27,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 04:00:00,7.2,45.0,2.2,36.0,71.0,13.0,8.1,,,150,SSE,16.1,10.0,1024.1,30.25,4.8,40.6,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 05:00:00,7.8,46.0,2.8,37.0,71.0,7.4,4.6,,,0,Variable,16.1,10.0,1023.1,30.22,6.6,43.9,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 06:00:00,8.9,48.0,3.9,39.0,71.0,11.1,6.9,,,0,Variable,16.1,10.0,1022.3,30.19,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 07:21:00,8.9,48.0,3.9,39.0,71.0,14.8,9.2,,,140,SE,16.1,10.0,1023.2,30.22,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 07:00:00,8.9,48.0,5.0,41.0,77.0,9.3,5.8,,,0,Variable,9.7,6.0,1022.2,30.19,,,,,0.0,0.0,Light Rain,rain,0,1,0,0,0,0
2018-03-02 08:00:00,10.0,50.0,6.1,43.0,77.0,9.3,5.8,31.5,19.6,0,Variable,16.1,10.0,1021.0,30.15,,,,,0.3,0.01,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 09:33:00,10.0,50.0,6.7,44.1,80.0,,,,,0,North,16.1,10.0,1020.2,30.13,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 09:00:00,10.0,50.0,6.7,44.1,80.0,18.5,11.5,37.0,23.0,170,South,16.1,10.0,1019.9,30.12,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 10:01:00,10.6,51.1,7.2,45.0,80.0,11.1,6.9,27.8,17.3,180,South,14.5,9.0,1019.9,30.12,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 10:00:00,11.7,53.1,7.8,46.0,77.0,9.3,5.8,40.7,25.3,0,Variable,16.1,10.0,1017.8,30.06,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 11:06:00,12.2,54.0,8.3,46.9,77.0,16.7,10.4,40.7,25.3,180,South,16.1,10.0,1018.2,30.07,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 11:00:00,12.2,54.0,8.3,46.9,77.0,16.7,10.4,38.9,24.2,170,South,14.5,9.0,1016.3,30.01,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-03-02 12:18:00,11.7,53.1,8.9,48.0,83.0,16.7,10.4,40.7,25.3,180,South,8.0,5.0,1016.1,30.01,,,,,0.0,0.0,Light Rain,rain,0,1,0,0,0,0
2018-03-02 12:00:00,11.7,53.1,9.4,48.9,86.0,13.0,8.1,40.7,25.3,180,South,8.0,5.0,1014.7,29.97,,,,,0.5,0.02,Light Rain,rain,0,1,0,0,0,0
2018-03-02 13:28:00,12.2,54.0,10.0,50.0,86.0,13.0,8.1,40.7,25.3,180,South,2.8,1.8,1015.1,29.98,,,,,1.0,0.04,Light Rain,rain,0,1,0,0,0,0
2018-03-02 13:38:00,12.2,54.0,10.6,51.1,90.0,13.0,8.1,31.5,19.6,170,South,3.2,2.0,1014.8,29.97,,,,,1.8,0.07,Light Rain,rain,0,1,0,0,0,0
2018-03-02 13:00:00,12.8,55.0,10.6,51.1,86.0,18.5,11.5,31.5,19.6,180,South,4.0,2.5,1014.0,29.95,,,,,2.3,0.09,Light Rain,rain,0,1,0,0,0,0
2018-03-02 14:28:00,13.3,55.9,11.1,52.0,87.0,14.8,9.2,,,180,South,2.8,1.8,1014.8,29.97,,,,,1.8,0.07,Light Rain,rain,0,1,0,0,0,0
2018-03-02 14:35:00,13.3,55.9,11.1,52.0,87.0,11.1,6.9,,,170,South,4.0,2.5,1014.8,29.97,,,,,2.3,0.09,Light Rain,rain,0,1,0,0,0,0
2018-03-02 14:00:00,13.9,57.0,11.7,53.1,87.0,11.1,6.9,,,170,South,3.2,2.0,1013.9,29.94,,,,,3.0,0.12,Light Rain,rain,0,1,0,0,0,0
2018-03-02 15:08:00,13.9,57.0,11.7,53.1,87.0,11.1,6.9,,,170,South,2.4,1.5,1014.8,29.97,,,,,1.0,0.04,Rain,rain,0,1,0,0,0,0
2018-03-02 15:31:00,13.9,57.0,12.2,54.0,89.0,9.3,5.8,,,170,South,2.4,1.5,1015.1,29.98,,,,,2.8,0.11,Rain,rain,0,1,0,0,0,0
2018-03-02 15:00:00,13.9,57.0,12.2,54.0,89.0,11.1,6.9,,,170,South,1.6,1.0,1014.3,29.96,,,,,5.1,0.2,Rain,rain,0,1,0,0,0,0
2018-03-02 16:43:00,13.3,55.9,11.7,53.1,90.0,7.4,4.6,,,150,SSE,3.2,2.0,1014.4,29.96,,,,,4.8,0.19,Rain,rain,0,1,0,0,0,0
2018-03-02 16:00:00,13.3,55.9,11.7,53.1,90.0,5.6,3.5,,,0,Variable,2.4,1.5,1013.6,29.94,,,,,5.6,0.22,Rain,rain,0,1,0,0,0,0
