pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2018-10-01 00:00:00,7.8,46.0,5.6,42.1,86.0,16.7,10.4,,,70,ENE,8.0,5.0,1016.1,30.01,5.0,41.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-01 01:00:00,7.8,46.0,5.6,42.1,86.0,18.5,11.5,,,70,ENE,11.3,7.0,1014.4,29.96,4.8,40.6,,,0.0,0.0,Overcast,cloudy,0,0,0,0,0,0
2018-10-01 02:00:00,7.8,46.0,5.6,42.1,86.0,24.1,15.0,33.3,20.7,70,ENE,12.9,8.0,1013.0,29.92,4.2,39.6,,,0.0,0.0,Light Rain,rain,0,1,0,0,0,0
2018-10-01 03:00:00,7.2,45.0,5.6,42.1,90.0,16.7,10.4,29.6,18.4,70,ENE,4.8,3.0,1011.7,29.88,4.3,39.7,,,1.3,0.05,Rain,rain,0,1,0,0,0,0
2018-10-01 04:00:00,7.2,45.0,5.6,42.1,90.0,27.8,17.3,40.7,25.3,70,ENE,2.4,1.5,1009.8,29.82,3.1,37.6,,,5.1,0.2,Heavy Rain,rain,0,1,0,0,0,0
2018-10-01 05:00:00,7.2,45.0,5.6,42.1,90.0,18.5,11.5,35.2,21.9,70,ENE,2.8,1.8,1007.8,29.76,4.0,39.3,,,8.1,0.32,Rain,rain,0,1,0,0,0,0
2018-10-01 06:00:00,7.8,46.0,6.1,43.0,89.0,16.7,10.4,31.5,19.6,80,East,2.8,1.8,1005.4,29.69,5.0,41.0,,,5.1,0.2,Heavy Rain,rain,0,1,0,0,0,0
2018-10-01 07:00:00,8.9,48.0,7.2,45.0,89.0,18.5,11.5,31.5,19.6,80,East,2.0,1.2,1002.2,29.6,,,,,11.9,0.47,Heavy Rain,rain,0,1,0,0,0,0
2018-10-01 08:00:00,10.0,50.0,9.4,48.9,96.0,7.4,4.6,,,0,Variable,8.0,5.0,1001.5,29.58,,,,,11.7,0.46,Light Rain,rain,0,1,0,0,0,0
2018-10-01 09:00:00,13.9,57.0,12.8,55.0,93.0,9.3,5.8,,,0,Variable,8.0,5.0,1000.5,29.55,,,,,0.3,0.01,Overcast,cloudy,0,0,0,0,0,0
2018-10-01 10:00:00,13.9,57.0,12.8,55.0,93.0,13.0,8.1,38.9,24.2,180,South,2.8,1.8,999.1,29.51,,,,,0.3,0.01,Light Rain,rain,0,1,0,0,0,0
2018-10-01 11:00:00,13.9,57.0,12.8,55.0,93.0,13.0,8.1,27.8,17.3,190,South,4.0,2.5,996.6,29.43,,,,,0.5,0.02,Light Rain,rain,0,1,0,0,0,0
2018-10-01 12:00:00,14.4,57.9,12.8,55.0,90.0,13.0,8.1,27.8,17.3,170,South,6.4,4.0,994.9,29.38,,,,,0.8,0.03,Overcast,cloudy,0,0,0,0,0,0
2018-10-01 13:00:00,15.0,59.0,13.3,55.9,90.0,11.1,6.9,,,170,South,11.3,7.0,993.2,29.33,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-01 14:00:00,13.9,57.0,12.2,54.0,89.0,5.6,3.5,31.5,19.6,0,Variable,8.0,5.0,992.1,29.3,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-01 15:00:00,13.9,57.0,11.7,53.1,87.0,20.4,12.7,38.9,24.2,170,South,4.8,3.0,991.4,29.28,,,,,0.3,0.01,Light Rain,rain,0,1,0,0,0,0
2018-10-01 16:00:00,13.9,57.0,6.7,44.1,62.0,14.8,9.2,27.8,17.3,260,West,16.1,10.0,993.2,29.33,,,,,0.5,0.02,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2018-10-01 17:00:00,13.3,55.9,6.1,43.0,62.0,13.0,8.1,,,260,West,16.1,10.0,993.9,29.35,,,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-10-01 18:00:00,12.8,55.0,4.4,39.9,57.0,13.0,8.1,40.7,25.3,250,WSW,16.1,10.0,994.8,29.38,,,,,,,Clear,clear,0,0,0,0,0,0
2018-10-01 19:00:00,11.1,52.0,2.8,37.0,57.0,13.0,8.1,40.7,25.3,270,West,16.1,10.0,996.0,29.42,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-01 20:00:00,8.3,46.9,-1.1,30.0,52.0,11.1,6.9,33.3,20.7,0,Variable,16.1,10.0,997.6,29.46,,,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-10-01 21:00:00,6.1,43.0,-3.9,25.0,49.0,24.1,15.0,44.4,27.6,290,WNW,16.1,10.0,999.7,29.52,2.0,35.7,,,,,Clear,clear,0,0,0,0,0,0
2018-10-01 22:00:00,5.0,41.0,-4.4,24.1,51.0,24.1,15.0,51.9,32.2,280,West,16.1,10.0,1001.4,29.57,0.6,33.1,,,,,Scattered Clouds,partlycloudy,0,0,0,0,0,0
2018-10-01 23:00:00,5.0,41.0,-5.0,23.0,49.0,20.4,12.7,40.7,25.3,290,WNW,16.1,10.0,1002.3,29.6,1.0,33.9,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-02 00:00:00,0.6,33.1,-3.3,26.1,75.0,0.0,0.0,,,0,North,11.3,7.0,1002.0,29.59,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-02 01:00:00,0.6,33.1,-2.2,28.0,82.0,0.0,0.0,,,0,North,3.2,2.0,1002.0,29.59,,,,,0.3,0.01,Light Snow,snow,0,0,1,0,0,0
2018-10-02 02:00:00,0.6,33.1,-1.7,28.9,85.0,11.1,6.9,,,260,West,6.4,4.0,1001.7,29.58,-2.8,26.9,,,0.0,0.0,Overcast,cloudy,0,0,0,0,0,0
2018-10-02 03:00:00,0.6,33.1,-2.2,28.0,82.0,0.0,0.0,,,0,North,8.0,5.0,1001.7,29.58,,,,,,,Haze,hazy,0,0,0,0,0,0
2018-10-02 04:00:00,0.6,33.1,-2.8,27.0,78.0,13.0,8.1,,,260,West,12.9,8.0,1001.7,29.58,-3.3,26.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-02 05:00:00,0.6,33.1,-2.8,27.0,78.0,0.0,0.0,,,0,North,12.9,8.0,1001.9,29.59,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-02 06:00:00,0.6,33.1,-2.8,27.0,78.0,11.1,6.9,,,260,West,9.7,6.0,1002.1,29.6,-2.8,26.9,,,,,Haze,hazy,0,0,0,0,0,0
2018-10-02 07:00:00,0.6,33.1,-2.2,28.0,82.0,9.3,5.8,,,280,West,2.0,1.2,1002.6,29.61,-2.4,27.7,,,0.0,0.0,Light Snow,snow,0,0,1,0,0,0
2018-10-02 08:00:00,1.1,34.0,-1.7,28.9,82.0,,,,,0,North,3.2,2.0,1003.0,29.62,,,,,0.0,0.0,Haze,hazy,0,0,0,0,0,0
2018-10-02 09:00:00,1.7,35.1,-2.2,28.0,76.0,7.4,4.6,,,0,Variable,8.0,5.0,1003.2,29.63,-0.5,31.0,,,,,Haze,hazy,0,0,0,0,0,0
2018-10-02 10:00:00,1.7,35.1,-3.3,26.1,70.0,14.8,9.2,,,270,West,12.9,8.0,1003.0,29.62,-2.3,27.9,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-02 11:00:00,2.8,37.0,-4.4,24.1,59.0,14.8,9.2,,,270,West,16.1,10.0,1002.7,29.61,-0.9,30.4,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-10-02 12:00:00,3.3,37.9,-5.6,21.9,53.0,,,,,0,North,16.1,10.0,1002.2,29.6,,,,,,,Overcast,cloudy,0,0,0,0,0,0
