pickup_datetime,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado
2018-09-01 00:00:00,5.0,41.0,0.0,32.0,70.0,14.8,9.2,,,60,ENE,16.1,10.0,1021.9,30.18,1.8,35.2,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 01:00:00,5.0,41.0,0.6,33.1,73.0,20.4,12.7,,,70,ENE,16.1,10.0,1021.8,30.18,1.0,33.9,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2018-09-01 02:00:00,5.0,41.0,0.6,33.1,73.0,13.0,8.1,,,80,East,16.1,10.0,1021.8,30.18,2.1,35.8,,,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0
2018-09-01 03:00:00,4.4,39.9,0.6,33.1,77.0,14.8,9.2,29.6,18.4,80,East,16.1,10.0,1021.4,30.17,1.1,33.9,,,,,Mostly Cloudy,mostlycloudy,0,0,0,0,0,0
2018-09-01 04:00:00,5.0,41.0,1.1,34.0,76.0,11.1,6.9,,,0,Variable,16.1,10.0,1021.2,30.16,2.5,36.4,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 05:00:00,5.0,41.0,1.1,34.0,76.0,16.7,10.4,,,80,East,16.1,10.0,1021.4,30.17,1.5,34.7,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 06:00:00,5.0,41.0,1.7,35.1,79.0,14.8,9.2,,,60,ENE,16.1,10.0,1021.7,30.17,1.8,35.2,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 07:00:00,5.6,42.1,2.2,36.0,79.0,13.0,8.1,,,80,East,14.5,9.0,1021.5,30.17,2.8,37.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 08:00:00,5.6,42.1,2.2,36.0,79.0,18.5,11.5,,,70,ENE,14.5,9.0,1021.9,30.18,2.0,35.7,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 09:00:00,6.7,44.1,2.8,37.0,76.0,14.8,9.2,,,70,ENE,14.5,9.0,1022.9,30.21,3.9,39.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 10:00:00,6.7,44.1,2.8,37.0,76.0,14.8,9.2,,,80,East,14.5,9.0,1022.3,30.19,3.9,39.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 11:00:00,7.8,46.0,2.8,37.0,71.0,7.4,4.6,,,0,Variable,14.5,9.0,1021.7,30.17,6.6,43.9,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 12:00:00,7.8,46.0,4.4,39.9,79.0,9.3,5.8,,,50,NE,8.0,5.0,1021.1,30.16,6.2,43.1,,,0.0,0.0,Light Rain,rain,0,1,0,0,0,0
2018-09-01 13:00:00,7.8,46.0,4.4,39.9,79.0,13.0,8.1,,,60,ENE,12.9,8.0,1020.2,30.13,5.5,41.9,,,0.0,0.0,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 14:00:00,7.8,46.0,3.9,39.0,76.0,14.8,9.2,,,60,ENE,12.9,8.0,1020.2,30.13,5.2,41.4,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 15:00:00,7.2,45.0,3.9,39.0,80.0,13.0,8.1,,,90,East,12.9,8.0,1020.2,30.13,4.8,40.6,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 16:00:00,7.2,45.0,4.4,39.9,82.0,13.0,8.1,,,100,East,14.5,9.0,1020.6,30.14,4.8,40.6,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 17:00:00,7.8,46.0,4.4,39.9,79.0,9.3,5.8,,,80,East,16.1,10.0,1020.5,30.14,6.2,43.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 18:00:00,7.8,46.0,4.4,39.9,79.0,11.1,6.9,,,110,ESE,16.1,10.0,1020.6,30.14,5.8,42.5,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 19:00:00,8.3,46.9,4.4,39.9,77.0,16.7,10.4,,,100,East,16.1,10.0,1020.6,30.14,,,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 20:00:00,7.8,46.0,4.4,39.9,79.0,9.3,5.8,,,90,East,11.3,7.0,1020.1,30.13,6.2,43.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 21:00:00,7.8,46.0,5.0,41.0,83.0,11.1,6.9,,,60,ENE,12.9,8.0,1019.1,30.1,5.8,42.5,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-01 22:00:00,7.8,46.0,5.0,41.0,83.0,11.1,6.9,,,0,Variable,8.0,5.0,1018.3,30.07,5.8,42.5,,,,,Haze,hazy,0,0,0,0,0,0
2018-09-01 23:00:00,7.8,46.0,5.6,42.1,86.0,9.3,5.8,,,70,ENE,6.4,4.0,1017.8,30.06,6.2,43.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 00:00:00,-2.2,28.0,-6.1,21.0,75.0,14.8,9.2,,,70,ENE,16.1,10.0,1006.8,29.73,-7.1,19.3,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 01:00:00,-2.2,28.0,-6.1,21.0,75.0,13.0,8.1,,,60,ENE,16.1,10.0,1006.6,29.73,-6.7,20.0,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 02:00:00,-2.2,28.0,-5.6,21.9,78.0,11.1,6.9,,,120,ESE,11.3,7.0,1006.2,29.72,-6.2,20.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 03:00:00,-2.2,28.0,-6.1,21.0,75.0,7.4,4.6,,,0,Variable,8.0,5.0,1005.4,29.69,-5.1,22.8,,,,,Haze,hazy,0,0,0,0,0,0
2018-09-02 04:00:00,-2.8,27.0,-6.1,21.0,78.0,13.0,8.1,,,50,NE,16.1,10.0,1004.0,29.65,-7.4,18.7,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 05:00:00,-2.8,27.0,-6.1,21.0,78.0,9.3,5.8,,,50,NE,16.1,10.0,1004.1,29.65,-6.4,20.5,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 06:00:00,-2.2,28.0,-6.1,21.0,75.0,11.1,6.9,,,0,Variable,16.1,10.0,1005.3,29.69,-6.2,20.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 07:00:00,-2.2,28.0,-5.6,21.9,78.0,5.6,3.5,,,0,Variable,16.1,10.0,1005.0,29.68,-4.3,24.2,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 08:00:00,-2.2,28.0,-5.6,21.9,78.0,11.1,6.9,,,0,Variable,16.1,10.0,1004.5,29.67,-6.2,20.8,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 09:00:00,-1.7,28.9,-5.6,21.9,75.0,13.0,8.1,,,60,ENE,16.1,10.0,1003.8,29.65,-6.1,21.1,,,,,Overcast,cloudy,0,0,0,0,0,0
2018-09-02 10:00:00,-0.6,30.9,-6.1,21.0,67.0,11.1,6.9,,,50,NE,16.1,10.0,1003.1,29.62,-4.3,24.3,,,,,Overcast,cloudy,0,0,0,0,0,0
